Disease,Description
(vertigo) Paroymsal  Positional Vertigo,A condition causing brief episodes of dizziness triggered by specific changes in head position.
AIDS,"Acquired Immunodeficiency Syndrome, an advanced stage of HIV infection that severely weakens the immune system."
Acne,"A skin condition occurring when hair follicles become clogged with oil and dead skin cells, causing pimples."
Alcoholic hepatitis,Liver inflammation caused by excessive alcohol consumption over time.
Allergy,"An immune system reaction to a substance that is normally harmless, causing sneezing, skin reactions, or respiratory symptoms."
Arthritis,"Inflammation of one or more joints, causing pain, swelling, and reduced range of motion."
Bronchial Asthma,"A chronic respiratory condition where airways narrow and swell, causing breathlessness, wheezing, and coughing."
Cervical spondylosis,"Age-related wear affecting the spinal discs in the neck, leading to neck pain and stiffness."
Chicken pox,"A highly contagious viral infection causing itchy, blister-like rashes along with fever."
Chronic cholestasis,"A condition where bile flow from the liver is reduced or blocked, leading to itching and yellowing of skin and eyes."
Common Cold,"A mild viral infection of the upper respiratory tract causing sneezing, congestion, and sore throat."
Dengue,"A mosquito-borne viral infection causing high fever, severe joint and muscle pain, and rash."
Diabetes ,"A chronic condition affecting how the body processes blood sugar, leading to elevated glucose levels and related symptoms."
Dimorphic hemmorhoids(piles),"Swollen veins in the lower rectum and anus causing pain, itching, and bleeding."
Drug Reaction,"An adverse response of the body to a medication, ranging from mild rash to severe systemic symptoms."
Fungal infection,"A skin condition caused by fungal organisms thriving in warm, moist areas, leading to itching, rashes, and discoloration."
GERD,"Gastroesophageal reflux disease, where stomach acid frequently flows back into the esophagus, causing heartburn and irritation."
Gastroenteritis,"Inflammation of the stomach and intestines, typically causing diarrhea, vomiting, and abdominal cramps."
Heart attack,"A medical emergency where blood flow to the heart is blocked, causing chest pain and tissue damage."
Hepatitis B,"A serious liver infection caused by the hepatitis B virus, transmitted through blood and bodily fluids."
Hepatitis C,"A liver infection caused by the hepatitis C virus, often chronic and spread through blood contact."
Hepatitis D,A liver infection that only occurs in people already infected with hepatitis B.
Hepatitis E,"A liver infection caused by the hepatitis E virus, usually from contaminated water."
Hypertension ,"Persistently elevated blood pressure in the arteries, often without symptoms but raising risk of heart disease."
Hyperthyroidism,"A condition where the thyroid gland produces excess hormones, speeding up metabolism."
Hypoglycemia,"Abnormally low blood sugar levels, causing shakiness, sweating, and confusion."
Hypothyroidism,"A condition where the thyroid gland does not produce enough hormones, slowing metabolism."
Impetigo,A highly contagious bacterial skin infection causing red sores that can rupture and form a yellow crust.
Jaundice,"Yellowing of the skin and eyes caused by excess bilirubin, often linked to liver dysfunction."
Malaria,"A mosquito-borne parasitic disease causing high fever, chills, and flu-like symptoms."
Migraine,"A neurological condition causing intense, recurring headaches often accompanied by nausea and light sensitivity."
Osteoarthristis,"A degenerative joint disease causing cartilage breakdown, pain, and stiffness, especially in weight-bearing joints."
Paralysis (brain hemorrhage),"Loss of muscle function resulting from bleeding in the brain, often affecting one side of the body."
Peptic ulcer diseae,"Open sores that develop on the inner lining of the stomach or upper small intestine, often causing abdominal pain."
Pneumonia,"An infection that inflames the air sacs in the lungs, causing cough, fever, and breathing difficulty."
Psoriasis,"A chronic autoimmune skin condition causing rapid skin cell buildup, resulting in scaly, itchy patches."
Tuberculosis,"A bacterial infection primarily affecting the lungs, causing persistent cough, fever, and weight loss."
Typhoid,"A bacterial infection from contaminated food or water, causing sustained high fever and abdominal pain."
Urinary tract infection,"An infection in any part of the urinary system, commonly causing burning urination and urgency."
Varicose veins,"Enlarged, twisted veins usually appearing in the legs due to weakened vein valves."
hepatitis A,"A liver infection caused by the hepatitis A virus, typically spread through contaminated food or water."
